名称	升级	显示	描述	分类	图片	位置	大小	偏移	帧数	帧速率	下落速度	摆动速度	反弹	类型	装备	等级	拾取	消耗	价值	生命	法力	红心	攻击	防御	力量	体质	耐力	智力	幸运	间隔时间	特效	音效	脚本
蝙蝠之魂		蝙蝠之魂	获得变身为蝙蝠的能力	魔导器	\image\图标\物件.bmp	96,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\蝙蝠之魂.lua
蝙蝠火焰		蝙蝠火焰	变身为蝙蝠时可以发射火球	魔导器	\image\图标\物件.bmp	128,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\蝙蝠火焰.lua
蝙蝠声波		蝙蝠声波	变身为蝙蝠时可以发射超声波探路	魔导器	\image\图标\物件.bmp	160,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\蝙蝠声波.lua
蝙蝠超声波		蝙蝠超声波	变身为蝙蝠时可以发射超声波攻击敌人	魔导器	\image\图标\物件.bmp	192,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\蝙蝠超声波.lua
雾之魂		雾之魂	获得变身为雾的能力	魔导器	\image\图标\物件.bmp	224,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\雾之魂.lua
雾之力		雾之力	延长变身为雾的时间	魔导器	\image\图标\物件.bmp	256,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\雾之力.lua
雾之毒		雾之毒	变身为毒雾可以攻击敌人	魔导器	\image\图标\物件.bmp	288,32	32,32	0,2	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\魂器.wav	\data\脚本\使用物品\雾之毒.lua
飞刀		飞刀		副武器	\image\图标\投掷.bmp	0,64	32,32	0,0	0	0	-300	0	5	6	0	1	1	0	0	0	0	1	10	0	0				0	1000	飞刀	\sound\物品\拾取.wav	
飞斧		飞斧		副武器	\image\图标\投掷.bmp	64,64	32,32	0,0	0	0	-300	0	5	6	0	5	1	0	0	0	0	2	20	0	0				0	1000	飞斧	\sound\物品\拾取.wav	
圣水		圣水		副武器	\image\图标\投掷.bmp	96,64	32,32	0,0	0	0	-300	0	5	6	0	10	1	0	0	0	0	3	20	0	0				0	1000	圣水	\sound\物品\拾取.wav	
圣盐		圣盐		副武器	\image\图标\投掷.bmp	192,64	32,32	0,0	0	0	-300	0	5	6	0	15	1	0	0	0	0	4	25	0	0				0	1000	圣盐	\sound\物品\拾取.wav	
圣经		圣经		副武器	\image\图标\投掷.bmp	128,64	32,32	0,0	0	0	-300	0	5	6	0	20	1	0	0	0	0	5	30	0	0				0	1000	圣经	\sound\物品\拾取.wav	
怀表		怀表		副武器	\image\图标\投掷.bmp	160,64	32,32	0,0	0	0	-300	0	5	6	0	25	1	0	0	0	0	6	35	0	0				0	1000	怀表	\sound\物品\拾取.wav	
反弹石		反弹石		副武器	\image\图标\投掷.bmp	32,64	32,32	0,0	0	0	-300	0	5	6	0	30	1	0	0	0	0	7	40	0	0				0	1000	反弹石	\sound\物品\拾取.wav	
雷光破		雷光破		副武器	\image\图标\投掷.bmp	224,64	32,32	0,0	0	0	-300	0	5	6	0	35	1	0	0	0	0	8	45	0	0				0	1000	雷光破	\sound\物品\拾取.wav	
十字架		十字架		副武器	\image\图标\投掷.bmp	256,64	32,32	0,0	0	0	-300	0	5	6	0	40	1	0	0	0	0	9	50	0	0				0	1000	十字架	\sound\物品\拾取.wav	
圣光剑		圣光剑		副武器	\image\图标\投掷.bmp	288,64	32,32	0,0	0	0	-300	0	5	6	0	45	1	0	0	0	0	10	55	0	0				0	1000	圣光剑	\sound\物品\拾取.wav	
普通魔魂		黑色魔魂	普通怪物的魂魄，可以合成高级魔魂	材料	\image\图标\材料.bmp	0,0	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
一阶魔魂		绿色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	32,0	32,32	0,0	0	0	-300	0	4	3	0	1	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
二阶魔魂		蓝色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	64,0	32,32	0,0	0	0	-300	0	4	3	0	2	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
三阶魔魂		红色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	96,0	32,32	0,0	0	0	-300	0	4	3	0	3	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
四阶魔魂		黄色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	128,0	32,32	0,0	0	0	-300	0	4	3	0	4	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
五阶魔魂		紫色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	160,0	32,32	0,0	0	0	-300	0	4	3	0	5	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
六阶魔魂		青色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	192,0	32,32	0,0	0	0	-300	0	4	3	0	6	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
七阶魔魂		橙色魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	224,0	32,32	0,0	0	0	-300	0	4	3	0	7	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
八阶魔魂		深蓝魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	256,0	32,32	0,0	0	0	-300	0	4	3	0	8	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
九阶魔魂		深紫魔魂	高级怪物的魂魄，可用于装备附魔	材料	\image\图标\材料.bmp	288,0	32,32	0,0	0	0	-300	0	4	3	0	9	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
绿色宝箱钥匙		绿色宝箱钥匙	可以用来打开绿色宝箱	材料	\image\图标\材料.bmp	0,64	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
红色宝箱钥匙		红色宝箱钥匙	可以用来打开红色宝箱	材料	\image\图标\材料.bmp	32,64	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
蓝色宝箱钥匙		蓝色宝箱钥匙	可以用来打开蓝色宝箱	材料	\image\图标\材料.bmp	64,64	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
黄色宝箱钥匙		黄色宝箱钥匙	可以用来打开黄色宝箱	材料	\image\图标\材料.bmp	96,64	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
幸运宝石		幸运宝石	可以用来给装备附加幸运值	材料	\image\图标\材料.bmp	0,96	32,32	0,0	0	0	-300	0	4	3	0	0	1	0	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	
鸭嘴怪宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	0,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\鸭嘴怪宝箱.lua
飞飞魔宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	32,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\飞飞魔宝箱.lua
蝎狮宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	64,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\蝎狮宝箱.lua
阿鲁卡多宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	96,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\阿鲁卡多宝箱.lua
小恶魔宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	128,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\小恶魔宝箱.lua
狮鹫宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	160,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\狮鹫宝箱.lua
里希特宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	192,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\里希特宝箱.lua
羽恶魔宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	224,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\羽恶魔宝箱.lua
狼人宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	256,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\狼人宝箱.lua
牛头人宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	288,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\牛头人宝箱.lua
奥洛克宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	0,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\奥洛克宝箱.lua
奥洛克变身宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	32,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\奥洛克变身宝箱.lua
骷髅统领宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	64,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\骷髅统领宝箱.lua
魅魔宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	96,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\魅魔宝箱.lua
海妖宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	128,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\海妖宝箱.lua
三头犬宝箱		BOSS宝箱		宝箱	\image\图标\材料.bmp	160,32	32,32	0,0	0	0	-300	0	4	3	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\拾取.wav	\data\脚本\怪物宝箱\三头犬宝箱.lua
钱袋5		钱袋5		地图	\image\图标\物件.bmp	0,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	5	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋10		钱袋10		地图	\image\图标\物件.bmp	32,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	10	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋20		钱袋20		地图	\image\图标\物件.bmp	64,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	20	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋30		钱袋30		地图	\image\图标\物件.bmp	96,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	30	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋50		钱袋50		地图	\image\图标\物件.bmp	128,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	50	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋100		钱袋100		地图	\image\图标\物件.bmp	160,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	100	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋200		钱袋200		地图	\image\图标\物件.bmp	192,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	200	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋300		钱袋300		地图	\image\图标\物件.bmp	224,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	300	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋500		钱袋500		地图	\image\图标\物件.bmp	256,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	500	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
钱袋1000		钱袋1000		地图	\image\图标\物件.bmp	288,64	32,32	0,0	0	0	-300	0	4	4	0	0	0	1	1000	0	0	0	0	0	0				0	1000		\sound\物品\钱袋.wav	
生命上限		生命上限	增加5点生命上限	地图	\image\图标\物件.bmp	0,96	32,32	0,0	5	10	-300	0	4	4	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\上限.wav	\data\脚本\使用物品\生命上限.lua
法力上限		法力上限	增加5点法力上限	地图	\image\图标\物件.bmp	160,96	32,32	0,0	5	10	-300	0	4	4	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\上限.wav	\data\脚本\使用物品\法力上限.lua
红心上限		红心上限	增加5点红心上限	地图	\image\图标\物件.bmp	0,160	32,32	0,0	4	10	-300	0	4	4	0	0	2	1	0	0	0	0	0	0	0				0	1000		\sound\物品\上限.wav	\data\脚本\使用物品\红心上限.lua
大红心		大红心	增加5点红心	地图	\image\图标\物件.bmp	0,128	32,32	0,1	10	10	-300	0	0	4	0	0	0	1	0	0	0	5	0	0	0				0	1000		\sound\物品\大红心.wav	
小红心		小红心	增加1点红心	地图	\image\图标\物件.bmp	296,9	16,14	0,0	0	0	36	36	0	4	0	0	0	1	0	0	0	1	0	0	0				0	1000		\sound\物品\红心.wav	
银币		银币		地图	\image\图标\物件.bmp	0,192	16,16	0,1	8	10	-300	0	4	4	0	0	0	1	1	0	0	0	0	0	0				0	1000		\sound\物品\银币.wav	
金币		金币		地图	\image\图标\物件.bmp	0,208	16,16	0,1	8	10	-300	0	4	4	0	0	0	1	10	0	0	0	0	0	0				0	1000		\sound\物品\金币.wav	\data\脚本\使用物品\金币.lua
苹果		苹果	很甜的苹果	食物	\image\图标\食物.bmp	0,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	10	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
香蕉		香蕉	有点发酵了，但很好吃	食物	\image\图标\食物.bmp	32,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	15	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
橙子		橙子	汁多又甜的甜橙	食物	\image\图标\食物.bmp	64,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	20	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
草莓		草莓	好吃的草莓	食物	\image\图标\食物.bmp	96,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	25	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
葡萄		葡萄	大颗的葡萄	食物	\image\图标\食物.bmp	128,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	30	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
菠萝		菠萝	在南国采集的极品菠萝	食物	\image\图标\食物.bmp	160,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	35	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
香菇		香菇	具独特芳香能够引起食欲的蘑菇	食物	\image\图标\食物.bmp	192,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	40	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
毒蘑菇		毒蘑菇	喂，有角幻也！你还有毒蘑菇吗？我要把这个给那奸商吃	食物	\image\图标\食物.bmp	224,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	-40	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
花生		花生	扔进嘴里吃的花生	食物	\image\图标\食物.bmp	256,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	45	0	0	0	0	0				0	1000		\sound\物品\水果.wav	
葡萄酒		葡萄酒	1720年的珍品香葡萄酒	食物	\image\图标\食物.bmp	288,0	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	50	0	0	0	0	0				0	1000		\sound\物品\酒水.wav	
大麦茶		大麦茶		食物	\image\图标\食物.bmp	0,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	10	0	0	0	0				0	1000		\sound\物品\酒水.wav	
绿茶		绿茶		食物	\image\图标\食物.bmp	32,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	0	15	0	0	0	0				0	1000		\sound\物品\酒水.wav	
皮塔三明治		皮塔三明治	鸡蛋！面包！沙~拉~酱~	食物	\image\图标\食物.bmp	64,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	29	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
火腿蛋		火腿蛋	精选的蛋和火腿制成	食物	\image\图标\食物.bmp	96,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	22	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
汉堡包		汉堡包	现已加入豪华套餐	食物	\image\图标\食物.bmp	128,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	20	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
冰激凌		冰激凌	三层重叠的冰激凌	食物	\image\图标\食物.bmp	160,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	15	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
套餐A		套餐A		食物	\image\图标\食物.bmp	192,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	25	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
套餐B		套餐B		食物	\image\图标\食物.bmp	224,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	26	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
早餐		早餐		食物	\image\图标\食物.bmp	256,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	24	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
豆豉		豆豉		食物	\image\图标\食物.bmp	288,32	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	30	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
煎蛋卷		煎蛋卷	当地的名产	食物	\image\图标\食物.bmp	0,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	23	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
乳酪蛋糕		乳酪蛋糕	味道上等的奶酪蛋糕	食物	\image\图标\食物.bmp	32,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	16	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
冻糕		冻糕		食物	\image\图标\食物.bmp	64,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	16	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
熏肉香肠		熏肉香肠	当地特产	食物	\image\图标\食物.bmp	96,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	19	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
小笼包		小笼包	再来十屉小笼包	食物	\image\图标\食物.bmp	128,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	10	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
披萨		披萨		食物	\image\图标\食物.bmp	160,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	21	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
炖肉		炖肉	天朝的传统菜	食物	\image\图标\食物.bmp	192,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	50	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
布丁		布丁	最流行的布丁	食物	\image\图标\食物.bmp	224,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	17	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
拉面		拉面	兰州拉面	食物	\image\图标\食物.bmp	256,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	50	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
咖喱饭		咖喱饭	用丰富的材料煮成的咖喱	食物	\image\图标\食物.bmp	288,64	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	22	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
草莓酥饼		草莓酥饼	以草莓精华制成的果馅蛋糕	食物	\image\图标\食物.bmp	0,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	21	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
牛排		牛排	七分熟的牛排	食物	\image\图标\食物.bmp	32,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	100	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
意大利面		意大利面		食物	\image\图标\食物.bmp	64,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	27	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
奶酪		奶酪	好吃的奶酪	食物	\image\图标\食物.bmp	96,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	18	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
寿司		寿司	寿司【大生鱼片，虾，鸡蛋】	食物	\image\图标\食物.bmp	128,96	32,32	0,2	0	0	-300	0	4	4	0	0	1	1	10	60	0	0	0	0	0				0	1000		\sound\物品\食物.wav	
