name	effect
骷髅刀客死亡	\data\特效\怪物\骷髅刀客死亡.eff
骷髅刀客落地	\data\特效\怪物\骷髅刀客落地.eff
骷髅刀客滑铲	\data\特效\怪物\骷髅刀客滑铲.eff
骷髅巨人骨头	\data\特效\怪物\骷髅巨人骨头.eff
骷髅巨人死亡	\data\特效\怪物\骷髅巨人死亡.eff
长枪守卫死亡	\data\特效\怪物\长枪守卫死亡.eff
巨剑铠兵死亡	\data\特效\怪物\巨剑铠兵死亡.eff
骷髅恶灵死亡	\data\特效\怪物\骷髅恶灵死亡.eff
半人鸟死亡	\data\特效\怪物\半人鸟死亡.eff
半人鸟飞刀	\data\特效\怪物\半人鸟飞刀.eff
半人鸟火球	\data\特效\怪物\半人鸟火球.eff
骷髅旋镖	\data\特效\怪物\骷髅旋镖.eff
骷髅射箭	\data\特效\怪物\骷髅射箭.eff
骷髅子弹	\data\特效\怪物\骷髅子弹.eff
骷髅骨头	\data\特效\怪物\骷髅骨头.eff
妖草口水	\data\特效\怪物\妖草口水.eff
妖草口水落地	\data\特效\怪物\妖草口水落地.eff
影子飞刀	\data\特效\怪物\影子飞刀.eff
影子飞斧	\data\特效\怪物\影子飞斧.eff
影子死亡	\data\特效\怪物\影子死亡.eff
小恶魔火球	\data\特效\怪物\小恶魔火球.eff
小恶魔绿火	\data\特效\怪物\小恶魔绿火.eff
小恶魔绿火爆炸	\data\特效\怪物\小恶魔绿火爆炸.eff
怪物飞斧	\data\特效\怪物\怪物飞斧.eff
怪物飞斧上	\data\特效\怪物\怪物飞斧上.eff
怪物飞斧下	\data\特效\怪物\怪物飞斧下.eff
魔化圣经	\data\特效\怪物\魔化圣经.eff
魔化圣盐	\data\特效\怪物\魔化圣盐.eff
魔化圣水	\data\特效\怪物\魔化圣水.eff
魔化圣盐落地	\data\特效\怪物\魔化圣盐落地.eff
魔化圣水爆炸	\data\特效\怪物\魔化圣水爆炸.eff
羽恶魔掉毛	\data\特效\怪物\羽恶魔掉毛.eff
羽恶魔羽毛	\data\特效\怪物\羽恶魔羽毛.eff
羽恶魔乌鸦	\data\特效\怪物\羽恶魔乌鸦.eff
羽恶魔泡泡	\data\特效\怪物\羽恶魔泡泡.eff
羽恶魔聚气	\data\特效\怪物\羽恶魔聚气.eff
羽恶魔死亡	\data\特效\怪物\羽恶魔死亡.eff
羽恶魔燃烧	\data\特效\怪物\羽恶魔燃烧.eff
狼人火球	\data\特效\怪物\狼人火球.eff
狼人火墙	\data\特效\怪物\狼人火墙.eff
狼人死亡	\data\特效\怪物\狼人死亡.eff
牛头人扔斧	\data\特效\怪物\牛头人扔斧.eff
牛头人扔砖	\data\特效\怪物\牛头人扔砖.eff
牛头人吹气	\data\特效\怪物\牛头人吹气.eff
牛头人死亡	\data\特效\怪物\牛头人死亡.eff
青蛙死亡	\data\特效\怪物\青蛙死亡.eff
冰晶女攻击	\data\特效\怪物\冰晶女攻击.eff
冰晶女死亡	\data\特效\怪物\冰晶女死亡.eff
食人鱼攻击	\data\特效\怪物\食人鱼攻击.eff
食人鱼死亡	\data\特效\怪物\食人鱼死亡.eff
骷髅鱼头火球	\data\特效\怪物\骷髅鱼头火球.eff
骷髅鱼头吐火	\data\特效\怪物\骷髅鱼头吐火.eff
骷髅鱼头死亡	\data\特效\怪物\骷髅鱼头死亡.eff
魅魔射箭	\data\特效\怪物\魅魔射箭.eff
魅魔飞花	\data\特效\怪物\魅魔飞花.eff
魅魔泡泡	\data\特效\怪物\魅魔泡泡.eff
魅魔受伤	\data\特效\怪物\魅魔受伤.eff
魅魔死亡	\data\特效\怪物\魅魔死亡.eff
海妖水泡升起	\data\特效\怪物\海妖水泡升起.eff
海妖水泡攻击	\data\特效\怪物\海妖水泡攻击.eff
海妖水球聚气	\data\特效\怪物\海妖水球聚气.eff
海妖水球攻击	\data\特效\怪物\海妖水球攻击.eff
海妖水球爆炸	\data\特效\怪物\海妖水球爆炸.eff
海妖落石攻击	\data\特效\怪物\海妖落石攻击.eff
海妖狗头攻击	\data\特效\怪物\海妖狗头攻击.eff
海妖狼头攻击	\data\特效\怪物\海妖狼头攻击.eff
海妖死亡	\data\特效\怪物\海妖死亡.eff
地板破坏01	\data\特效\场景\地板破坏01.eff
地板破裂01	\data\特效\场景\地板破裂01.eff
墙壁破坏01	\data\特效\场景\墙壁破坏01.eff
墙壁破坏02	\data\特效\场景\墙壁破坏02.eff
墙壁破裂01	\data\特效\场景\墙壁破裂01.eff
墙壁破裂02	\data\特效\场景\墙壁破裂02.eff
墙壁破裂03	\data\特效\场景\墙壁破裂03.eff
墙壁破裂04	\data\特效\场景\墙壁破裂04.eff
墙壁破裂05	\data\特效\场景\墙壁破裂05.eff
墙壁破裂06	\data\特效\场景\墙壁破裂06.eff
台阶破裂01	\data\特效\场景\台阶破裂01.eff
大门破裂01	\data\特效\场景\大门破裂01.eff
炮弹01	\data\特效\场景\炮弹01.eff
传送01	\data\特效\场景\传送01.eff
灯火01	\data\特效\场景\灯火01.eff
灯火02	\data\特效\场景\灯火02.eff
灯台01	\data\特效\场景\灯台01.eff
灯台02	\data\特效\场景\灯台02.eff
灯台03	\data\特效\场景\灯台03.eff
灯台04	\data\特效\场景\灯台04.eff
灯台05	\data\特效\场景\灯台05.eff
灯台06	\data\特效\场景\灯台06.eff
桌子01	\data\特效\场景\桌子01.eff
桌子02	\data\特效\场景\桌子02.eff
凳子01	\data\特效\场景\凳子01.eff
凳子02	\data\特效\场景\凳子02.eff
水花01	\data\特效\场景\水花01.eff
水花02	\data\特效\场景\水花02.eff
水花03	\data\特效\场景\水花03.eff
瀑布水花01	\data\特效\场景\瀑布水花01.eff
瀑布水花02	\data\特效\场景\瀑布水花02.eff
瀑布水花03	\data\特效\场景\瀑布水花03.eff
飞镖	\data\特效\投掷\飞镖.eff
十字镖	\data\特效\投掷\十字镖.eff
火焰镖	\data\特效\投掷\火焰镖.eff
火焰镖粒子	\data\特效\投掷\火焰镖粒子.eff
梅花镖	\data\特效\投掷\梅花镖.eff
柳生镖	\data\特效\投掷\柳生镖.eff
回旋镖	\data\特效\投掷\回旋镖.eff
烈焰回旋镖	\data\特效\投掷\烈焰回旋镖.eff
村正飞刀	\data\特效\投掷\村正飞刀.eff
铁球	\data\特效\投掷\铁球.eff
无双飞轮	\data\特效\投掷\无双飞轮.eff
中子炸弹	\data\特效\投掷\中子炸弹.eff
TNT炸药	\data\特效\投掷\TNT炸药.eff
烈性炸药	\data\特效\投掷\烈性炸药.eff
业力之币	\data\特效\投掷\业力之币.eff
毁灭之剑	\data\特效\投掷\毁灭之剑.eff
天堂之剑	\data\特效\投掷\天堂之剑.eff
魔法之箭	\data\特效\投掷\魔法之箭.eff
魔法徽章	\data\特效\投掷\魔法徽章.eff
蝙蝠徽章	\data\特效\投掷\蝙蝠徽章.eff
父亲大人	\data\特效\投掷\父亲大人.eff
